location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
245,USCONBDVGECUIC,Paula Dora,neighborhood,Arapahoe,Aurora,CO,US,39.68628765,-104.87090805
246,USCONBAUCSVWGX,Peachwood,neighborhood,Arapahoe,Aurora,CO,US,39.69811943,-104.84787864
247,USCONBMDVKOSAE,Pier Point,neighborhood,Arapahoe,Aurora,CO,US,39.64281343,-104.82808818
248,USCONBGJZNMNWK,Piney Creek,neighborhood,Arapahoe,Aurora,CO,US,39.61204759,-104.80205643
249,USCONBEYMITQFW,Pinnacle Ranch II Condo,neighborhood,Arapahoe,Aurora,CO,US,39.68969449,-104.87015193
250,USCONBUFDXCYTX,Pioneer Hills,neighborhood,Arapahoe,Aurora,CO,US,39.61942333,-104.8131885
251,USCONBWHIVIJDZ,PRAIRIE RIDGE AT SADDLE ROCK EAST CONDOS,neighborhood,Arapahoe,Aurora,CO,US,39.594592,-104.721391
252,USCONBXLOPCOBH,Pride's Crossing,neighborhood,Arapahoe,Aurora,CO,US,39.62648359,-104.77029646
253,USCONBYWHUYWEP,Quail Run Condos,neighborhood,Arapahoe,Aurora,CO,US,39.69491937,-104.77591446
254,USCONBOYVBSFIT,QUINCY CREEK SUB 1ST FLG,neighborhood,Arapahoe,Aurora,CO,US,39.640486,-104.80061
255,USCONBPVNOFSEI,Red Sky Condos,neighborhood,Arapahoe,Aurora,CO,US,39.71895898,-104.81705901
256,USCONBJLVPHQRN,Red Willow,neighborhood,Arapahoe,Aurora,CO,US,39.71593557,-104.81144658
257,USCONBRCJTGDDQ,Sandpiper Sub 1st Flg,neighborhood,Arapahoe,Aurora,CO,US,39.66216362,-104.83986145
258,USCONBVKKGKKFC,SEVEN LAKES,neighborhood,Arapahoe,Aurora,CO,US,39.65878031,-104.76209937
259,USCONBPXFFPRQD,Southshore at Aurora Sub Flg 19,neighborhood,Arapahoe,Aurora,CO,US,39.58888342,-104.66309455
260,USCONBUYBLQVRR,Spinnaker Run Condos,neighborhood,Arapahoe,Aurora,CO,US,39.66138418,-104.84314229
261,USCONBFETPJEBX,Stratus at Eagle Bend,neighborhood,Arapahoe,Aurora,CO,US,39.57862695,-104.71729534
262,USCONBFYBUWIGQ,Strawberry 1 at Heather Ridge,neighborhood,Arapahoe,Aurora,CO,US,39.67198855,-104.83021518
263,USCONBJMUJFZFR,Adams County,neighborhood,Adams,Strasburg,CO,US,39.90124676,-104.29875109
264,USCONBSITARFAM,Strasburg,neighborhood,Adams,Strasburg,CO,US,39.78235277,-104.33612194
265,USCONBVGTWYSPK,Montecello,neighborhood,Adams,Federal Heights,CO,US,39.86068422,-105.01090512
266,USCONBMKHXEBPW,Lochbuie Station,neighborhood,Adams,Lochbuie,CO,US,39.99677,-104.72715
267,USCONBQKVNOFZK,North Park Filing 1 Rep C,neighborhood,Adams,Broomfield,CO,US,39.99445,-105.01339
268,USCONBMSJWVGGJ,NORTH STAR ESTATES FOURTH FILING,neighborhood,Adams,Broomfield,CO,US,39.97888,-105.00822
269,USCONBJTXFJNKM,None,neighborhood,Adams,Byers,CO,US,39.97786339,-104.05810479
270,USCONBABZSETQN,NorthRidge,neighborhood,Adams,Arvada,CO,US,39.81529197,-105.04988945
271,USSCNBOVIBUHUU,Unknown,neighborhood,Aiken,Aiken,SC,US,33.5257999,-81.93825
272,USKSNBOIKBMVEP,None,neighborhood,Allen,Elsmore,KS,US,37.78485828,-95.19309667
273,USKSNBRTXJELHQ,None,neighborhood,Allen,Gas,KS,US,39.011902,-98.4842465
274,USKSNBFWQYIXQL,Garnett,neighborhood,Anderson,Garnett,KS,US,38.283198,-95.244317
275,USKSNBQCFHDQXN,Other,neighborhood,Anderson,Colony,KS,US,38.07145065,-95.3410882
276,USKSNBSKYBWPCT,None,neighborhood,Anderson,Kincaid,KS,US,38.087214,-95.157691
277,USTXNBVWOCSKEJ,Wrights 4th,neighborhood,Anderson,Palestine,TX,US,31.747946,-95.613211
278,USSCNBFXHDBUOH,None,neighborhood,Anderson,Pendleton,SC,US,34.617353,-82.715137
279,USSCNBDKSRFRTF,none,neighborhood,Anderson,Belton,SC,US,34.511927,-82.502522
280,USMOCIZLEVSYLI,Savannah,city,Andrew,Savannah,MO,US,39.940035,-94.831345
281,USMOCIKTCEMNNY,Fillmore,city,Andrew,Fillmore,MO,US,40.012517,-94.97453150000001
